MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,Temp3pm,RainToday,RainTomorrow
19.3,26.2,0.0,3.6,8.4,W,41,WSW,E,2,73,65,1,6,25.8,No,Yes
19.0,29.0,22.2,8.2,3.3,W,41,W,NNE,0,82,52,7,7,24.7,Yes,Yes
17.9,21.4,4.2,4.2,0.0,W,41,S,ESE,20,77,88,8,8,19.2,Yes,Yes
14.7,20.6,33.0,7.0,8.9,W,41,SW,S,24,65,51,5,3,19.9,Yes,No
12.8,22.0,0.2,6.2,11.3,W,41,W,SSE,19,55,46,0,1,21.2,No,Yes
14.2,23.4,5.4,6.4,7.3,W,41,W,SE,13,93,54,7,2,22.4,Yes,No
15.0,23.1,0.2,2.6,11.2,W,41,W,ENE,15,78,57,1,1,22.5,No,No
15.5,25.4,0.0,6.8,11.3,W,41,WNW,E,9,77,57,0,2,23.8,No,No
18.7,25.8,0.0,6.0,8.7,W,41,S,ESE,19,72,64,6,3,24.1,No,No
19.6,26.0,0.0,5.0,10.4,W,41,N,ENE,11,67,65,1,1,24.7,No,No
19.9,24.9,0.0,7.6,4.5,W,41,SSW,SSE,13,83,75,5,7,23.3,No,Yes
16.5,24.8,17.4,6.0,9.6,W,41,WNW,E,9,88,71,1,2,21.5,Yes,No
16.4,24.3,0.0,4.6,10.2,W,41,W,E,9,82,64,1,2,23.8,No,No
19.3,26.3,0.0,4.6,10.8,W,41,WNW,NE,9,76,50,1,0,25.5,No,No
18.6,26.1,0.0,7.6,11.3,W,41,ENE,E,2,72,58,0,0,26.0,No,No
19.3,26.4,0.0,7.0,11.1,W,41,W,NE,7,77,60,1,1,25.0,No,No
19.2,26.1,0.0,6.0,10.6,W,41,WNW,ESE,6,84,69,1,4,25.3,No,No
18.8,26.0,0.0,5.4,11.0,W,41,W,ENE,9,84,62,3,1,25.7,No,No
19.3,26.1,0.0,7.0,11.3,W,41,NW,ENE,2,80,64,1,1,25.6,No,No
19.7,25.8,0.0,5.6,10.1,W,41,W,E,7,81,69,2,2,24.7,No,No
19.5,25.7,0.0,6.4,10.0,W,41,WNW,E,4,82,60,4,1,25.4,No,No
19.0,26.7,0.0,8.0,9.7,W,41,N,ENE,11,73,58,0,2,25.6,No,No
19.9,26.9,0.0,6.6,6.3,W,41,SSE,E,7,70,60,5,7,24.9,No,No
19.7,28.1,0.0,6.0,10.4,W,41,NNE,NE,6,70,58,2,2,27.6,No,No
17.7,19.6,1.0,7.0,0.0,W,41,S,SSW,26,87,80,8,8,18.4,No,Yes
16.9,23.2,2.2,2.2,0.6,W,41,ESE,E,24,81,60,7,7,21.7,Yes,No
16.3,24.8,0.4,4.0,6.1,W,41,WNW,ESE,9,82,57,5,6,24.8,No,Yes
18.5,24.3,17.0,2.6,8.0,W,41,NNW,ENE,7,95,72,6,2,23.3,Yes,No
19.8,27.5,0.4,6.4,2.5,W,41,NE,NNW,4,81,58,5,7,27.0,No,Yes
17.0,27.2,19.0,2.4,10.5,W,41,W,NW,0,76,38,1,5,27.1,Yes,No
15.0,23.6,0.0,5.8,11.0,W,41,W,ESE,20,52,42,1,1,21.8,No,No
15.2,21.7,0.0,2.6,8.3,W,41,SSW,SE,13,71,51,4,3,21.2,No,No
14.4,22.9,0.2,4.8,9.3,W,41,W,E,15,85,65,3,2,21.7,No,No
13.1,26.8,0.0,4.6,10.9,W,41,W,WNW,22,61,22,0,1,25.9,No,No
13.5,25.6,0.0,5.8,10.4,W,41,WNW,WNW,9,57,31,4,1,24.9,No,No
13.7,23.9,0.0,6.6,11.0,W,41,W,ESE,20,55,54,1,1,23.3,No,No
14.1,28.7,0.0,3.8,10.5,W,41,W,N,6,75,34,1,7,28.0,No,No
16.4,22.2,0.0,10.6,9.7,W,41,SW,WSW,26,42,21,6,1,21.2,No,No
11.2,22.2,0.0,7.6,10.6,W,41,W,E,24,47,37,1,0,21.0,No,No
11.6,22.7,0.0,4.2,10.7,W,41,WNW,E,13,71,50,0,1,21.0,No,No
13.1,22.7,0.0,3.6,6.4,W,41,W,ESE,13,71,55,5,6,22.1,No,Yes
15.3,22.0,12.0,3.2,4.7,W,41,SSW,SSE,11,83,70,5,6,19.8,Yes,Yes
14.6,22.1,9.6,5.4,5.1,W,41,SE,SE,20,86,75,6,6,18.9,Yes,Yes
15.6,22.2,22.8,5.4,5.8,W,41,W,E,13,96,62,7,5,21.1,Yes,Yes
13.8,22.7,2.2,3.6,10.6,W,41,W,E,15,77,60,5,1,21.9,Yes,No
14.1,23.5,0.0,3.2,8.9,W,41,W,E,15,83,61,4,2,22.1,No,No
14.0,23.8,0.0,4.0,7.8,W,41,W,E,11,79,59,7,4,22.2,No,No
15.1,22.7,0.0,1.8,6.6,W,41,W,ESE,11,81,75,5,6,19.7,No,Yes
13.2,18.9,11.0,3.2,5.2,W,41,SSW,S,19,82,64,7,3,18.8,Yes,Yes
13.8,19.7,2.8,2.8,1.7,W,41,SW,S,20,85,71,7,7,19.0,Yes,Yes
13.8,20.9,1.4,4.6,2.2,W,41,SSW,SSW,15,78,85,7,8,16.2,Yes,Yes
14.9,19.7,4.6,1.4,0.8,W,41,SSW,S,17,91,72,7,7,19.4,Yes,Yes
15.3,20.0,6.4,3.2,0.3,W,41,W,SSE,4,94,75,8,7,19.6,Yes,Yes
15.9,21.4,5.0,4.8,5.0,W,41,SE,SE,22,51,61,6,7,19.5,Yes,Yes
15.2,19.1,2.8,4.0,1.3,W,41,ESE,S,15,79,75,7,6,18.4,Yes,Yes
14.7,19.3,21.8,7.5,4.6,W,41,SSW,S,9,91,70,8,7,19.0,Yes,Yes
14.4,20.3,10.2,3.6,2.0,W,41,SSE,SE,9,90,55,7,5,20.1,Yes,Yes
14.7,17.9,12.6,4.0,0.7,W,41,SW,SSE,6,90,89,7,7,17.2,Yes,Yes
14.7,20.0,15.6,1.6,2.5,W,41,S,S,19,93,80,7,7,19.3,Yes,Yes
12.7,24.8,0.4,2.6,10.2,W,41,W,E,15,81,38,2,7,24.6,No,No
15.6,26.1,0.0,5.2,7.6,W,41,NNW,N,20,51,28,6,2,25.7,No,No
11.9,16.8,0.0,7.6,8.5,W,41,W,WSW,20,46,33,2,6,15.6,No,No
8.6,18.4,0.0,3.8,10.5,W,41,W,SSE,24,54,41,1,1,17.8,No,No
8.4,19.6,0.0,3.6,9.8,W,41,W,E,15,68,50,1,3,18.1,No,No
11.6,18.2,0.0,4.0,2.7,W,41,WNW,W,11,74,56,7,7,18.1,No,No
10.8,22.2,0.0,2.4,9.1,W,41,W,WSW,19,65,44,1,3,21.7,No,No
10.9,19.6,0.0,3.4,10.5,W,41,W,SSE,19,62,52,1,1,18.6,No,No
9.4,20.3,0.0,3.6,10.3,W,41,W,SE,22,64,47,1,1,19.4,No,No
9.4,22.3,0.0,2.0,10.0,W,41,W,NW,15,71,34,1,2,22.2,No,No
11.8,23.6,0.0,3.4,3.1,W,41,W,WNW,9,74,48,6,7,21.1,No,No
13.0,23.0,0.0,3.6,9.4,W,41,W,SSE,22,57,44,1,3,22.0,No,No
11.0,21.8,0.0,3.2,10.2,W,41,W,S,24,63,45,1,1,20.8,No,No
11.0,21.9,0.0,3.2,10.1,W,41,W,SE,17,75,60,0,1,20.6,No,No
12.6,21.3,0.0,3.0,9.6,W,41,WNW,E,11,86,67,1,1,19.3,No,No
14.0,19.4,0.0,1.2,2.1,W,41,WNW,SSE,13,84,67,7,7,18.7,No,No
12.4,19.5,0.0,1.6,7.3,W,41,W,E,11,88,63,1,1,19.2,No,No
13.2,19.7,0.0,1.8,4.2,W,41,W,E,11,88,67,6,7,18.1,No,No
11.2,20.6,0.0,2.0,9.7,W,41,W,ENE,20,82,64,1,1,20.0,No,No
12.0,21.4,0.2,3.2,8.7,W,41,W,E,13,90,60,1,1,21.3,No,Yes
13.8,23.2,1.2,2.2,6.4,W,41,WNW,NE,15,78,66,6,2,20.9,Yes,No
15.2,21.8,0.0,4.2,6.9,W,41,NNW,NNW,20,52,41,3,7,20.9,No,No
8.8,17.8,0.0,4.2,9.4,W,41,W,W,19,57,36,1,1,17.0,No,No
10.7,20.5,0.0,4.4,9.9,W,41,W,WNW,22,58,36,1,0,20.3,No,No
10.3,21.7,0.0,3.0,10.0,W,41,W,W,24,64,38,1,1,21.3,No,No
11.1,18.9,0.0,2.4,6.1,W,41,WNW,S,19,74,64,4,7,17.3,No,No
11.9,18.7,0.0,4.0,7.5,W,41,SSW,SSE,20,63,52,1,2,17.4,No,No
11.0,18.4,0.0,3.4,5.4,W,41,WNW,SSE,17,76,53,1,5,17.1,No,No
11.4,20.1,0.0,2.4,9.1,W,41,W,NW,13,71,39,1,1,19.3,No,No
8.8,18.3,0.0,3.6,6.5,W,41,W,ENE,17,78,58,4,3,16.9,No,No
10.9,21.1,0.4,0.4,9.1,W,41,W,ENE,20,81,58,6,2,19.5,No,No
11.5,22.4,0.0,3.2,8.7,W,41,W,E,15,82,71,3,1,19.1,No,No
11.0,19.2,0.0,1.6,3.9,W,41,W,NE,26,80,74,3,6,18.6,No,No
11.0,18.6,1.0,1.0,4.6,W,41,W,S,19,86,76,3,2,17.6,No,No
10.9,21.0,0.2,1.4,5.6,W,41,W,E,19,87,58,1,2,19.6,No,No
10.8,20.1,0.0,1.0,9.4,W,41,WNW,SSE,17,90,61,1,1,19.4,No,No
11.6,20.5,0.2,2.2,0.3,W,41,W,SE,19,91,74,7,7,18.7,No,Yes
14.3,17.6,22.0,1.8,0.1,W,41,W,W,9,97,90,8,7,17.1,Yes,Yes
15.2,19.1,4.0,0.4,0.0,W,41,W,E,17,98,90,8,8,16.7,Yes,Yes
15.5,18.3,9.2,2.4,0.0,W,41,SE,ESE,19,87,88,8,8,17.2,Yes,Yes
15.2,16.9,46.4,2.4,0.0,W,41,SSW,S,24,82,84,7,8,16.6,Yes,Yes
14.7,17.4,12.4,0.4,1.8,W,41,WSW,SSW,15,81,70,7,6,16.6,Yes,No
11.7,18.2,0.0,2.2,8.8,W,41,W,S,19,76,49,1,1,17.9,No,Yes
12.7,17.7,6.0,1.4,0.5,W,41,WNW,ESE,17,97,71,8,7,17.2,Yes,Yes
13.0,16.9,3.6,1.2,1.2,W,41,W,ESE,13,96,89,7,8,16.2,Yes,Yes
12.4,19.9,1.6,1.6,3.9,W,41,W,N,13,98,68,7,1,19.1,Yes,No
13.2,19.9,0.0,1.8,0.0,W,41,NNW,N,6,74,70,7,8,19.6,No,Yes
13.7,22.1,5.4,1.8,6.9,W,41,W,ENE,11,97,64,8,1,20.1,Yes,No
14.0,18.8,0.0,3.4,8.6,W,41,NW,WSW,20,67,42,1,2,16.7,No,No
9.6,14.6,0.0,3.8,3.4,W,41,W,SW,30,49,52,5,7,14.1,No,No
10.6,15.3,0.0,2.8,0.1,W,41,SSW,SSW,24,75,87,7,8,14.5,No,Yes
13.3,16.8,7.2,5.0,2.4,W,41,SSW,SSW,19,86,83,6,7,15.8,Yes,Yes
13.1,17.5,3.4,0.8,1.3,W,41,W,SSW,11,88,73,7,7,17.3,Yes,No
13.6,19.4,0.0,1.6,4.1,W,41,W,NE,13,90,69,7,8,19.2,No,No
12.8,20.3,0.0,2.0,5.0,W,41,WNW,ESE,13,91,69,6,7,18.6,No,Yes
13.8,17.9,3.6,0.6,0.6,W,41,W,W,19,81,60,7,7,17.2,Yes,Yes
11.6,18.5,2.2,1.8,9.4,W,41,W,WSW,15,66,40,1,1,18.0,Yes,No
9.7,17.3,0.0,3.4,9.3,W,41,W,SSW,22,61,54,1,3,16.3,No,No
8.2,17.1,0.0,3.4,7.0,W,41,WNW,WSW,13,74,43,1,7,17.0,No,No
9.2,19.2,0.0,1.8,9.2,W,41,W,WNW,19,72,45,1,1,18.8,No,No
9.9,19.6,0.0,2.8,9.8,W,41,W,WNW,17,69,43,1,0,19.4,No,No
10.2,20.2,0.0,3.2,9.7,W,41,WNW,W,28,47,38,0,1,19.3,No,No
9.5,19.4,0.0,4.4,9.3,W,41,W,WSW,24,57,32,0,0,18.9,No,No
7.9,18.7,0.0,3.0,8.8,W,41,W,SSE,20,68,43,1,1,18.1,No,No
7.9,21.0,0.0,0.8,9.8,W,41,WNW,NNW,13,84,42,2,1,20.8,No,No
9.2,22.1,0.0,3.2,9.8,W,41,NNW,NW,19,47,35,1,1,21.6,No,No
10.3,19.6,0.2,3.8,9.5,W,41,W,W,0,45,34,0,1,19.2,No,No
10.8,19.2,0.0,4.0,9.7,W,41,WNW,W,26,55,35,1,1,18.8,No,No
9.2,17.9,0.0,3.2,9.6,W,41,W,WNW,17,63,42,1,1,17.4,No,Yes
8.2,15.0,1.2,2.4,0.4,W,41,W,S,20,84,88,7,7,12.9,Yes,Yes
9.1,17.4,14.2,1.6,2.5,W,41,WNW,NE,11,78,48,6,6,16.8,Yes,No
8.3,18.4,0.0,2.2,7.8,W,41,W,SSE,15,84,59,1,3,17.7,No,No
9.7,19.8,0.0,2.2,4.3,W,41,W,N,9,87,55,7,5,19.3,No,No
10.5,17.2,0.2,1.6,5.5,W,41,W,SE,11,80,49,1,4,16.4,No,No
6.9,13.3,0.0,2.8,4.6,W,41,W,WSW,15,57,43,2,7,13.2,No,Yes
7.2,15.8,1.8,2.4,4.9,W,41,WNW,NW,11,58,38,7,3,15.8,Yes,No
10.0,16.5,0.0,4.8,9.8,W,41,W,WSW,24,46,27,1,1,16.1,No,No
5.7,15.9,0.0,3.4,8.3,W,41,W,NE,17,67,45,4,7,15.0,No,No
7.8,17.3,0.0,2.6,0.0,W,41,W,N,4,67,58,8,8,17.1,No,No
10.1,23.1,0.0,1.8,6.1,W,41,W,E,0,80,54,7,1,22.9,No,No
9.7,19.8,0.0,1.8,9.7,W,41,W,ESE,20,81,70,1,1,17.4,No,No
8.9,18.0,0.0,2.0,9.6,W,41,WNW,SSE,13,81,50,1,1,17.4,No,No
8.2,18.5,0.0,1.4,9.0,W,41,W,N,15,84,38,4,5,17.3,No,No
8.2,18.7,0.0,4.0,8.7,W,41,W,W,13,73,21,1,1,17.9,No,No
8.1,18.2,0.0,3.4,9.5,W,41,W,W,4,53,32,1,2,18.2,No,No
10.8,17.6,0.0,3.2,0.0,W,41,N,NE,6,41,55,8,8,16.8,No,Yes
10.4,17.5,2.8,1.6,9.7,W,41,NW,W,26,56,31,1,1,16.7,Yes,No
7.2,15.1,0.0,3.8,10.0,W,41,W,SSW,19,52,31,0,1,13.9,No,No
5.5,14.7,0.0,4.0,4.0,W,41,W,SSW,22,67,61,6,6,14.1,No,Yes
6.9,15.9,7.0,0.2,1.7,W,41,W,ESE,19,95,70,8,7,14.7,Yes,Yes
9.8,12.7,8.8,2.4,0.1,W,41,WSW,S,15,93,81,8,7,12.6,Yes,Yes
6.2,17.0,16.2,1.4,8.6,W,41,W,SSE,24,79,47,1,5,15.5,Yes,No
6.3,17.6,0.0,2.0,7.6,W,41,W,ESE,11,71,41,2,7,16.4,No,Yes
7.0,13.6,3.8,3.0,3.6,W,41,W,SW,20,79,79,6,8,10.2,Yes,Yes
8.0,15.0,33.2,1.4,6.9,W,41,W,SSW,22,86,59,6,6,13.5,Yes,No
6.0,17.0,0.2,2.6,9.7,W,41,W,ESE,19,65,43,2,1,16.2,No,No
6.0,20.3,0.0,3.4,10.2,W,41,W,E,19,71,42,1,2,18.5,No,No
7.9,20.8,0.0,4.6,1.8,W,41,WNW,WNW,17,40,46,6,7,16.8,No,No
9.7,16.8,0.0,4.6,10.1,W,41,W,W,28,48,32,1,1,16.6,No,No
9.4,18.8,0.0,3.6,10.0,W,41,W,W,20,52,34,0,1,18.7,No,No
8.1,17.2,0.0,3.0,5.9,W,41,W,E,13,62,45,6,6,15.0,No,No
6.6,16.3,0.0,3.4,8.5,W,41,W,SSE,22,67,52,1,5,16.3,No,No
8.8,15.5,0.0,3.4,3.4,W,41,W,SSW,15,89,70,7,7,14.3,No,No
8.3,16.5,0.8,0.4,6.0,W,41,W,NW,20,74,75,1,7,11.4,No,Yes
8.2,18.6,4.6,1.4,5.7,W,41,W,SW,17,58,38,7,5,18.4,Yes,No
6.9,17.3,0.0,4.0,9.6,W,41,W,WNW,19,56,37,1,4,16.4,No,No
6.7,15.6,0.0,3.0,5.9,W,41,NW,WNW,19,62,38,2,2,13.5,No,No
7.0,15.9,0.4,3.6,10.7,W,41,W,W,33,46,35,1,4,15.4,No,No
6.8,16.3,0.0,3.0,10.0,W,41,W,W,19,50,28,1,1,15.8,No,No
8.4,17.4,0.0,4.0,10.5,W,41,WSW,ESE,22,49,34,1,2,16.0,No,No
7.2,18.5,0.0,4.0,10.4,W,41,W,WSW,22,51,28,0,1,18.0,No,No
9.4,18.8,0.0,4.6,10.7,W,41,W,W,22,49,33,1,1,18.1,No,No
10.5,18.0,0.0,4.0,9.2,W,41,W,SE,22,48,42,1,4,16.6,No,No
6.9,16.4,0.0,4.6,10.4,W,41,W,SSE,17,45,35,1,1,15.5,No,No
5.6,15.8,0.0,3.4,7.6,W,41,W,SSW,20,59,33,6,7,15.3,No,No
5.3,17.6,0.6,1.8,10.8,W,41,W,ENE,22,65,32,1,5,17.5,No,No
8.2,19.5,0.0,3.8,7.4,W,41,E,W,2,58,35,7,7,19.2,No,No
9.4,20.2,0.0,3.2,1.1,W,41,W,ENE,7,58,44,8,7,18.2,No,Yes
10.2,11.9,2.6,3.4,0.0,W,41,W,SSW,15,90,87,8,8,10.5,Yes,Yes
7.3,14.8,20.8,1.6,5.9,W,41,SSW,S,24,65,53,7,7,13.4,Yes,No
5.5,17.3,0.0,3.0,10.4,W,41,W,SSE,24,63,47,1,2,16.6,No,No
8.2,16.4,0.0,3.6,7.1,W,41,W,NE,15,76,48,7,5,16.0,No,No
8.5,21.5,0.0,2.6,9.3,W,41,WNW,E,19,78,51,2,3,18.7,No,No
8.8,16.9,2.4,3.2,8.5,W,41,W,S,13,85,59,3,5,15.8,Yes,No
8.7,18.2,0.0,4.2,10.1,W,41,WNW,SSE,19,70,62,2,4,16.1,No,No
8.1,16.0,0.0,4.8,6.3,W,41,W,ENE,13,82,65,5,7,15.7,No,Yes
12.1,19.2,12.0,4.8,0.3,W,41,NNE,N,15,91,71,7,7,19.1,Yes,No
10.4,21.0,0.2,4.0,11.3,W,41,W,E,7,54,41,0,0,19.0,No,No
8.7,20.6,0.0,3.0,11.1,W,41,W,ESE,19,56,39,0,1,18.9,No,No
9.7,17.9,0.0,3.4,6.2,W,41,SSE,SSE,22,67,64,7,7,16.0,No,No
13.5,17.1,0.4,4.6,0.7,W,41,SE,ESE,20,55,64,7,8,15.8,No,Yes
13.1,15.7,1.6,4.4,0.0,W,41,ESE,ESE,28,76,88,8,8,14.2,Yes,Yes
11.8,14.2,62.2,4.8,0.0,W,41,S,S,22,92,88,8,8,12.3,Yes,Yes
9.5,19.0,21.6,0.0,9.4,W,41,W,ESE,15,69,51,2,6,18.3,Yes,No
9.4,17.5,0.0,3.4,9.9,W,41,W,SSE,15,68,51,1,2,16.4,No,No
8.4,16.4,0.0,6.2,10.9,W,41,WSW,SE,13,49,43,1,1,15.4,No,No
7.0,16.8,0.0,4.0,10.7,W,41,W,ESE,17,66,44,1,1,16.6,No,No
7.1,17.7,0.0,3.0,10.3,W,41,WNW,ENE,15,72,60,1,2,16.8,No,No
8.7,24.3,0.0,3.6,10.8,W,41,W,NE,11,53,35,1,1,21.9,No,No
14.8,30.6,0.0,7.4,10.6,W,41,E,NE,4,40,47,3,1,25.0,No,Yes
17.2,23.5,3.6,9.6,2.8,W,41,N,NW,15,82,79,8,6,19.3,Yes,Yes
16.9,27.9,4.0,3.0,11.0,W,41,N,NW,28,58,23,1,1,27.8,Yes,No
12.3,19.8,0.0,10.6,11.3,W,41,W,WSW,39,30,25,1,1,19.5,No,No
10.7,16.3,0.0,7.2,4.6,W,41,S,SE,15,60,58,6,6,15.0,No,No
9.4,19.4,0.0,3.6,10.1,W,41,W,NE,6,63,61,1,4,18.3,No,No
14.6,25.8,0.0,4.2,10.4,W,41,W,NE,0,67,47,1,0,24.0,No,No
18.8,32.8,0.0,7.6,10.9,W,41,N,W,6,46,17,0,6,31.6,No,No
15.8,21.6,0.0,9.0,10.9,W,41,E,NE,9,73,61,4,0,20.7,No,No
13.2,29.8,0.0,4.4,7.5,W,41,W,NW,6,64,33,0,7,27.6,No,Yes
15.6,17.0,2.6,10.4,3.0,W,41,SSW,SSE,17,88,60,8,5,16.9,Yes,Yes
9.7,18.6,2.2,2.4,11.1,W,41,WNW,E,11,60,50,3,1,17.5,Yes,No
10.3,18.6,0.0,4.0,10.9,W,41,W,E,6,67,54,1,1,18.2,No,No
11.3,22.2,0.0,6.2,11.4,W,41,ESE,NE,4,56,53,1,5,21.6,No,No
14.0,25.4,0.0,5.6,11.4,W,41,S,E,7,67,62,4,1,21.4,No,No
19.8,32.9,0.0,6.6,8.4,W,41,WNW,SSE,17,35,62,2,2,21.5,No,No
13.5,21.8,0.0,6.6,7.1,W,41,SW,SE,19,42,63,1,7,16.1,No,No
11.9,19.2,0.8,6.4,11.1,W,41,W,NE,6,61,48,2,1,19.0,No,No
12.6,24.7,0.0,5.2,10.6,W,41,WNW,NE,9,70,69,6,1,20.5,No,No
18.9,31.1,0.0,6.6,10.0,W,41,NE,NE,4,44,39,3,1,29.7,No,No
22.5,34.8,0.0,8.6,9.8,W,41,WNW,W,15,41,20,1,7,33.9,No,Yes
17.5,19.4,9.6,10.4,0.0,W,41,ESE,NE,13,89,88,7,8,19.0,Yes,Yes
14.6,19.1,3.4,1.0,0.0,W,41,SSW,S,11,93,86,8,8,16.0,Yes,Yes
14.9,22.8,1.8,2.0,3.3,W,41,SSW,ENE,15,85,71,8,7,20.2,Yes,No
9.7,20.6,0.4,3.4,11.7,W,41,W,E,22,51,42,1,1,17.2,No,No
10.9,19.7,0.0,4.8,10.0,W,41,W,E,19,53,47,4,1,18.4,No,No
10.5,19.9,0.0,5.4,11.7,W,41,W,ESE,17,56,58,1,1,19.2,No,No
12.6,21.5,0.0,6.0,10.7,W,41,WNW,E,11,76,57,3,3,20.5,No,No
14.6,22.3,0.0,6.6,7.2,W,41,W,E,6,82,65,5,3,20.0,No,No
14.2,22.5,0.0,3.6,10.6,W,41,W,E,11,76,69,1,1,20.8,No,No
16.1,29.2,0.0,7.0,9.2,W,41,W,NE,6,72,43,2,2,27.7,No,No
16.6,21.0,0.6,9.2,2.3,W,41,SSW,E,20,89,84,8,7,17.6,No,Yes
15.1,18.9,9.0,3.2,5.0,W,41,SSE,SE,20,63,55,7,8,18.1,Yes,No
11.8,22.1,0.0,4.2,11.4,W,41,W,E,7,64,42,1,1,20.3,No,No
12.9,24.9,0.0,5.8,11.7,W,41,W,ENE,7,71,49,1,2,22.4,No,No
16.7,23.2,0.0,7.4,10.3,W,41,S,E,4,77,82,5,2,19.7,No,No
16.5,26.8,0.0,7.8,10.8,W,41,W,NE,6,64,48,1,2,26.6,No,No
17.1,22.2,0.0,8.0,5.7,W,41,SSW,SE,20,76,55,7,1,21.8,No,Yes
14.5,19.2,1.8,5.2,8.4,W,41,SSW,SSE,26,68,59,6,7,18.8,Yes,Yes
9.9,14.3,12.6,6.0,2.3,W,41,WSW,S,19,87,74,7,7,12.4,Yes,Yes
7.9,15.7,11.4,4.2,5.0,W,41,SW,S,24,71,75,6,7,14.1,Yes,Yes
9.0,20.2,2.0,2.4,10.2,W,41,WNW,E,15,66,51,6,6,18.2,Yes,No
12.3,24.0,0.0,4.8,11.5,W,41,W,E,17,66,47,1,1,22.2,No,No
14.4,24.4,0.0,8.0,8.7,W,41,ESE,NNE,6,58,57,6,7,23.6,No,No
19.8,33.6,0.0,7.6,11.8,W,41,E,NE,6,55,38,2,1,29.8,No,No
17.6,21.9,0.0,11.4,5.7,W,41,S,SSE,11,67,70,5,8,20.5,No,Yes
16.8,17.3,6.2,4.6,0.0,W,41,ESE,SE,11,93,91,8,8,16.7,Yes,Yes
15.1,25.8,7.6,1.2,3.7,W,41,W,NE,9,92,70,8,6,23.5,Yes,No
16.9,35.0,0.2,3.2,5.0,W,41,N,WNW,17,53,24,6,7,34.6,No,No
18.0,21.2,0.4,10.2,2.4,W,41,S,SSE,19,73,64,7,7,20.4,No,No
17.5,23.1,0.8,4.6,0.2,W,41,W,NE,11,72,60,7,7,20.0,No,Yes
17.2,30.3,2.8,3.4,10.3,W,41,WNW,W,22,62,35,2,4,28.6,Yes,No
15.5,19.0,0.2,7.8,6.2,W,41,S,SSE,22,59,62,7,6,17.8,No,No
14.5,21.0,0.0,7.8,5.0,W,41,W,NE,4,59,60,6,8,20.1,No,No
15.2,30.3,0.0,6.0,10.3,W,41,W,ENE,9,58,45,5,7,25.0,No,No
16.0,24.1,0.0,8.4,4.1,W,41,WNW,E,15,61,60,6,8,21.3,No,No
18.4,25.2,0.2,5.2,0.2,W,41,NNW,WSW,24,62,47,7,8,22.8,No,No
16.6,23.0,0.4,4.4,11.0,W,41,W,E,13,46,60,1,2,21.5,No,No
